current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2032,5,201554,1688462695384.0,0.0,30.015780738775007,29.850083939174766,49.117259141020234,319323955.3344699,1676438543.3245404,231207546.5312708,457756366.41852105
2032,6,203042,1688462702731.0,0.0,29.21670468615349,28.963568764962428,47.65884890339582,324205957.2160019,1698305221.3270144,234833676.51736003,464592012.7195975
2032,7,204482,1688462710001.0,0.0,28.404521459483593,28.51320757844167,51.33124791778507,329268533.41356605,1720241875.2144537,238540638.3634872,471442910.1511016
2032,8,205970,1688462713283.0,0.0,27.565382380745064,27.70280573390858,50.257648706252915,334402140.72960365,1742381962.7999723,242318615.7762608,478299222.0393926
2032,9,207458,1688462716725.0,0.0,26.746698987559604,26.88045746313947,48.76855614412243,339606788.2326441,1764724324.0418365,246167617.81678692,485161395.1751918
2032,10,208898,1688462719693.0,0.0,25.952295569161336,26.08210502314536,47.32011024170336,344882311.3383584,1787263987.7920833,250087480.48026562,492024589.63952863
2032,11,210386,1688462722979.0,0.0,25.18148644076751,25.307441284715626,45.91465587928349,350249389.44345444,1810438133.4517553,254097824.26885608,499316219.351988
2032,12,211826,1688462725366.0,0.0,24.434254021797294,24.55578497802118,44.550944686867844,355619126.8630009,1833620849.7416854,258109768.83149394,506613004.26131874
2033,1,213314,1688462730793.0,0.0,23.710813446476372,23.826494094282715,43.228168518173526,360991775.6007248,1856826239.0343406,262123608.7258813,513927516.79738796
2033,2,214802,1688462736713.0,0.0,23.00879556563056,23.11886898317355,41.944724295676686,366367578.5238354,1880054999.6402974,266139307.51472604,521258431.47036475
2033,3,216146,1688462741988.0,0.0,22.32733328843924,22.432261580449463,40.69945257234665,371746175.16286325,1903303970.496206,270156673.00689167,528604063.99392045
2033,4,217634,1688462749547.0,0.0,21.666052226840115,21.76606666310652,39.491254154222716,377127848.11792165,1926574695.1870308,274175867.064798,535965423.06383336
2033,5,219074,1688462757288.0,0.0,21.43323834184137,21.119643293644405,38.31872717141552,382527686.89696014,1949877840.9010332,278208664.82914424,543349585.9469376
